cafeSlug,ownerName,cafeId,articleId,count,need,title,articleUrl
driveee,운연정,31746635,1,6,2,"운연정 카페를 시작합니다.",https://cafe.naver.com/ca-fe/cafes/31746635/articles/1
petinfo183,티니피쉬 1,31750098,1,6,2,"애견 반려정보 카페를 시작합니다.",https://cafe.naver.com/ca-fe/cafes/31750098/articles/1
petinfo183,티니피쉬 1,31750098,5,6,2,"외부 글",https://cafe.naver.com/ca-fe/cafes/31750098/articles/5
dogwalk2m4,강아지강하지 1,31750100,7,7,1,"선풍기 모터와 소음, 풍량까지 공간별로 고르는 기준",https://cafe.naver.com/ca-fe/cafes/31750100/articles/7
driveee,운연정,31746635,2,7,1,"서울운전연수 가격 / 8년 장롱 탈출 찐후기 4일 만에 혼자 강변북로 탔어요",https://cafe.naver.com/ca-fe/cafes/31746635/articles/2
driveee,운연정,31746635,4,7,1,"수원운전연수 비용부터 업체 고르는 법까지, 장롱면허 7년차가 10시간 다녀온 솔직후기",https://cafe.naver.com/ca-fe/cafes/31746635/articles/4
driveee,운연정,31746635,11,7,1,"외부 글",https://cafe.naver.com/ca-fe/cafes/31746635/articles/11
driveee,운연정,31746635,12,7,1,"수원운전연수 비용 선택기준 후기",https://cafe.naver.com/ca-fe/cafes/31746635/articles/12
driveee,운연정,31746635,14,7,1,"서울운전연수 추천 선택기준 총정리, 사기 안 당하고 제대로 고르는 법",https://cafe.naver.com/ca-fe/cafes/31746635/articles/14
driveee,운연정,31746635,15,7,1,"외부 글",https://cafe.naver.com/ca-fe/cafes/31746635/articles/15
driveee,운연정,31746635,18,7,1,"올리브오일 효능과 엑스트라버진 고르는 기준",https://cafe.naver.com/ca-fe/cafes/31746635/articles/18
healthhhh,가중건다,31746910,5,7,1,"흑염소 효능 총정리, 왜 예부터 보양식으로 꼽혔을까",https://cafe.naver.com/ca-fe/cafes/31746910/articles/5
healthhhh,가중건다,31746910,10,7,1,"외부 글",https://cafe.naver.com/ca-fe/cafes/31746910/articles/10
mealtalkdht,빨간모자앤 1,31750099,3,7,1,"외부 글",https://cafe.naver.com/ca-fe/cafes/31750099/articles/3
mealtalkdht,빨간모자앤 1,31750099,10,7,1,"인천웨딩홀 대관료 식대 시세부터 고르는 기준까지",https://cafe.naver.com/ca-fe/cafes/31750099/articles/10
mealtalkdht,빨간모자앤 1,31750099,11,7,1,"회사 답례품 상황별 추천과 예산, 대량 주문 기준까지",https://cafe.naver.com/ca-fe/cafes/31750099/articles/11
petinfo183,티니피쉬 1,31750098,2,7,1,"해충 방역업체 선택법과 방제 방식, 업종별 비용 기준",https://cafe.naver.com/ca-fe/cafes/31750098/articles/2
petinfo183,티니피쉬 1,31750098,3,7,1,"외부 글",https://cafe.naver.com/ca-fe/cafes/31750098/articles/3
petinfo183,티니피쉬 1,31750098,9,7,1,"드라이기 모터와 소비전력, 소음까지 고르는 기준",https://cafe.naver.com/ca-fe/cafes/31750098/articles/9
petinfo183,티니피쉬 1,31750098,10,7,1,"결혼반지 예산과 4C, 구입처별 가격까지 고르는 기준",https://cafe.naver.com/ca-fe/cafes/31750098/articles/10
petinfo183,티니피쉬 1,31750098,11,7,1,"부천 PT 비용과 횟수, 효과와 트레이너 고르는 기준",https://cafe.naver.com/ca-fe/cafes/31750098/articles/11