ownerName,cafeSlug,cafeId,cafeUrl,articleId,subject,nickname,menuName,readCount,likeCount,commentCount,writeDateKst,articleUrl
가중건다,healthhhh,31746910,https://cafe.naver.com/healthhhh,39,"장에 좋은 음식 발효식품과 식이섬유, 프로바이오틱스까지",,자유게시판,1,0,0,2026-07-06 15:25,https://cafe.naver.com/ca-fe/cafes/31746910/articles/39
운연정,driveee,31746635,https://cafe.naver.com/driveee,29,"80대 할아버지 생신선물, 체질 따라 골라드리는 센스",,리빙 / 선물 / 정보 / 후기 ,17,0,0,2026-07-04 17:00,https://cafe.naver.com/ca-fe/cafes/31746635/articles/29
운연정,driveee,31746635,https://cafe.naver.com/driveee,28,70대 할머니 생신선물 추천 (카테고리·예산·체질별 총정리),,리빙 / 선물 / 정보 / 후기 ,11,0,0,2026-07-04 16:52,https://cafe.naver.com/ca-fe/cafes/31746635/articles/28
티니피쉬 1,petinfo183,31750098,https://cafe.naver.com/petinfo183,12,"드라이기 소비전력과 모터 방식, 풍속 원리까지",,자유게시판,2,0,0,2026-07-06 15:50,https://cafe.naver.com/ca-fe/cafes/31750098/articles/12
애견 산책노트,walknote702,31750107,https://cafe.naver.com/walknote702,1,애견 산책노트 카페를 시작합니다.,,자유게시판,0,0,0,2026-07-02 00:12,https://cafe.naver.com/ca-fe/cafes/31750107/articles/1
애견 반려수첩,petnote702,31750109,https://cafe.naver.com/petnote702,1,애견 반려수첩 카페를 시작합니다.,,자유게시판,0,0,0,2026-07-02 00:12,https://cafe.naver.com/ca-fe/cafes/31750109/articles/1
맛집 밥상노트,babsangnote702,31750114,https://cafe.naver.com/babsangnote702,13,"알파cd 효과와 부작용, 알파시클로덱스트린 복용법까지",,자유게시판,0,0,0,2026-07-06 16:40,https://cafe.naver.com/ca-fe/cafes/31750114/articles/13
맛집 밥상노트,babsangnote702,31750114,https://cafe.naver.com/babsangnote702,12,"파운다요 효과와 부작용, 먹는 위고비와 다른 점까지",,자유게시판,0,0,0,2026-07-06 16:40,https://cafe.naver.com/ca-fe/cafes/31750114/articles/12
맛집 밥상노트,babsangnote702,31750114,https://cafe.naver.com/babsangnote702,11,마운자로 요요 현상 원인과 중단 후 재증가 막는 법,,자유게시판,0,0,0,2026-07-06 16:40,https://cafe.naver.com/ca-fe/cafes/31750114/articles/11
맛집 밥상노트,babsangnote702,31750114,https://cafe.naver.com/babsangnote702,10,"베르가못 효능과 부작용, 폴리페놀 고르는 기준과 복용법",,자유게시판,0,0,0,2026-07-06 16:39,https://cafe.naver.com/ca-fe/cafes/31750114/articles/10
맛집 밥상노트,babsangnote702,31750114,https://cafe.naver.com/babsangnote702,9,"위고비 알약 효과와 부작용, 먹는 위고비 진짜와 가짜 구분",,자유게시판,0,0,0,2026-07-06 16:39,https://cafe.naver.com/ca-fe/cafes/31750114/articles/9
맛집 밥상노트,babsangnote702,31750114,https://cafe.naver.com/babsangnote702,8,"먹는 위고비 효과와 부작용, 국내 출시 현황까지",,자유게시판,0,0,0,2026-07-06 16:39,https://cafe.naver.com/ca-fe/cafes/31750114/articles/8
맛집 밥상노트,babsangnote702,31750114,https://cafe.naver.com/babsangnote702,7,시스템에어컨 청소업체 비용과 천장형 분해청소 기준,,자유게시판,0,0,0,2026-07-06 16:38,https://cafe.naver.com/ca-fe/cafes/31750114/articles/7
맛집 밥상노트,babsangnote702,31750114,https://cafe.naver.com/babsangnote702,6,에어컨 청소업체 비용과 종류별 분해청소 기준,,자유게시판,0,0,0,2026-07-06 16:38,https://cafe.naver.com/ca-fe/cafes/31750114/articles/6
맛집 밥상노트,babsangnote702,31750114,https://cafe.naver.com/babsangnote702,5,쿼드쎄라 펜타 제형별 차이와 함량 비교해보니,,자유게시판,0,0,0,2026-07-06 16:38,https://cafe.naver.com/ca-fe/cafes/31750114/articles/5
맛집 밥상노트,babsangnote702,31750114,https://cafe.naver.com/babsangnote702,4,"인천 웨딩홀 비용과 종류, 지역별 고르는 기준까지",,자유게시판,0,0,0,2026-07-06 16:38,https://cafe.naver.com/ca-fe/cafes/31750114/articles/4
맛집 밥상노트,babsangnote702,31750114,https://cafe.naver.com/babsangnote702,2,부담 없이 자주 가는 동네 맛집 한 끼 기록이에요,,자유게시판,1,0,0,2026-07-02 09:46,https://cafe.naver.com/ca-fe/cafes/31750114/articles/2
맛집 밥상노트,babsangnote702,31750114,https://cafe.naver.com/babsangnote702,1,맛집 밥상노트 카페를 시작합니다.,,자유게시판,2,0,0,2026-07-02 00:13,https://cafe.naver.com/ca-fe/cafes/31750114/articles/1